title	link	like	angry
[2018 부동산 전망] ‘완전 폭망’?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=262&aid=0000010953	20	25
'과열·규제' 반복...내년 부동산 전망은?	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=052&aid=0001100403	0	0
[경매사냥] 역세권 오피스텔…서울 종로구 르메이에르종로타운1 전용면적 56....	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000394407	0	0
[대도약 2018 부동산 시장] 물량 쏟아지고 규제 더 세지지만… 서울은 여전히...	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003872402	6	3
역세권으로 주목받는 한강 신도시 장기동 `초당마을래미안한강`	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004075026	6	0
[2017 부동산시장 결산]규제와 과열로 냉·온탕 오갔다	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003118464	0	1
녹번역세권에 브랜드아파트 타운…'녹번역 e편한세상 캐슬'에 실수요자 관심	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=366&aid=0000394073	0	1
"[화제의 분양현장]한강 옥수 우림필유, ‘한강조망권-초역세권-강남생활권’ ..."	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=020&aid=0003118489	0	0
역세권에 학군 풍부한 연수구 `송도웰카운티4단지`	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004074443	4	0
[D-2017부동산 결산] 정비사업 시장 활황…강남권 재건축은 과열양상	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002230498	0	0
"2018년 역시 수익형 부동산의 강세 예상, 굵직한 상가 위주로 임대·차인 몰릴..."	https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0003933378	0	0
