title,link,contents,like,angry
거제 차세대 ‘대장주’ 등장에 서울 투자자까지 주목! ‘e편한세상 거제 유로...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004569237,"- 주택전시관에 꾸준한 발걸음 이어져… 거제 내 차세대 ‘대장주’로서 인기 실감
- 계약금 1천만원 분납제, 중도금 60% 무이자 등 다양한 혜택에 서울 및 수도권 투자자까지 관심


거제에서 4년만에 1순위 최다 청약 접수를 기록한 ‘거제 유로아일랜드’의 주택전시관에 많은 방문객들의 발걸음이 꾸준히 이어지고 있다.

대림산업에 따르면 지난 6일 당첨자 발표를 진행한 이후 더욱 많은 방문객들이주택전시관을 방문하고 있는 상황이다. 주택전시관은 동호수가 지정된 당첨자를 비롯해 예비 당첨자까지 다양한 상담을 위한 대기인원으로 가득 찼다. 또한 최근 조선업 경기가 살아나고 있는 거제에서 괄목할 만한 성과를 올린 화제의 단지인 만큼 전국 각지의 세컨하우스 수요도 방문하는 등 많은 관심이 이어지고 있다.특히 계약금 1천만원 분납제, 중도금 60% 무이자 혜택으로 수요자들의 자금부담을 낮췄으며, 계약 이후 바로 전매가 가능해 잔여 세대를 기다리는 수요자들의 문의까지 몰리고 있다.

대림산업 분양관계자는“지난 청약에서 기록적인 성적을 거두며 거제 부동산 시장의 반등 신호탄을 쏘아 올린 이단지에 일대 실수요자를 비롯해 투자, 세컨하우스 등을 목적으로 하는 서울 및 수도권광역 수요까지 여전히 많은 관심을 보내 주고 있다“며 “입지나 상품, 브랜드파워를 갖춘 것은 물론 착한 분양가, 다양한 금융혜택까지 제공되는 단지로서 식지 않는 인기를 보이고 있는 만큼 계약까지 순조롭게 진행될 것으로 예상한다”고 밝혔다.

‘e편한세상 거제 유로아일랜드’은 지난 10월 25일 주택전시관 개관과 동시에 주말까지 3일간 총 1만 2천여 명의 방문객이 다녀가면서 화제의 분양 단지로 자리매김했다. 당시 주택전시관을 찾은 방문객들은 대림산업만의 신평면C2 HOUSE를 비롯해 스마트 클린&케어 솔루션, 노천탕을 포함한 사우나 시설, 별채 게스트하우스, 오션뷰 피트니스센터 등 거제에서 보기 드문 뛰어난 상품성에 찬사를 보냈으며, 우수한 입지, 합리적인 분양가 등에도 호평을 이었다.

이러한 인기는 청약에서도 고스란히 이어졌다. 1~2순위 청약에서 우수한 성적을 거두며 주춤했던 거제 부동산 시장의 부활 신호탄을 쏘아올린 것이다. 988가구(특별공급 제외) 모집에 총 2,141건의 청약 통장이 몰렸으며, 이는 조선업 경기 침체로 인해 통장 해지자가 증가하여 거제 내 1순위 통장이 많지 않은 상황을 고려해 보면 더욱 주목할 만한 결과다.

‘e편한세상 거제 유로아일랜드’는 지하 1층~지상 34층, 7개동으로 구성되며 전용 78~98㎡, 1,049세대 규모로 지어진다. 이 단지가 들어서는 고현동은 백화점, 시외버스터미널, 영화관 등 거제에서도 가장 생활 인프라가 잘 갖춰진 지역으로 꼽힌다. 그 중에서도 ‘e편한세상 거제 유로아일랜드’는 제2의 마린시티로 불리는 빅아일랜드에 위치해 입지적 가치가 특히 높다는 평이다. 또한 업계 전문가들은 최근 되살아나고 있는 우리나라의 선박수주와 남부내륙철도 등의 연이은 호재도 이 단지의 뜨거운 인기에 큰 영향을 미친 것으로 분석하고 있다.

‘e편한세상 거제 유로아일랜드’의 정당계약은 11월 18일부터 20일까지 진행된다. 입주는 2022년 7월 예정이다. 계약금 1천만원 분납제, 중도금 60% 무이자 혜택으로 수요자들의 자금부담을 낮췄으며, 계약 이후 바로 전매가 가능해 실수요는 물론 투자수요의 문의까지 이어지고 있다.

주택전시관은 거제 빅아일랜드(경남 거제시 고현동 1100) 내 사업지 인근에 위치하며, 연중무휴 개관 중으로 오전 10시부터 오후 6시까지 관람이 가능하다.

임소라 기자 mail00@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 초간단 퀴즈 풀고, 아이패드 받자! ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>",1,0
[연합뉴스 이 시각 헤드라인] - 15:00,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=004&oid=001&aid=0010577258,"■ 고농도 미세먼지에 도심 '한적'…실내시설은 '피신 인파' 북적

""요새 날마다 미세먼지가 난리라 아예 마트에서 마스크를 대용량으로 사다 놓고 가방에 넣어 다닙니다. 오늘도 안 쓰면 큰일 나겠다 싶어 꺼내 썼습니다."" 수도권을 비롯한 전국 대부분 지역에 미세먼지가 기승을 부리자 서울 도심 거리에 인적이 뚝 끊겼다. 시민들은 백화점이나 영화관 등 실내 시설로 '대피'해 시간을 보냈다. 13일 정부는 올해 들어 처음 서울·경기·인천 지역에 미세먼지 비상저감조치를 시행했다.

미세먼지에 갇힌 서울


전문보기: http://yna.kr/BwR0dKADA02

■ ""北美2차회담 후보지, 베트남 유력""…日이어 싱가포르 언론 보도

미국과 북한의 2차 정상회담의 개최 후보지가 베트남과 태국으로 압축됐다고 싱가포르 스트레이츠타임스가 미국 소식통을 인용해 보도했다. 13일 보도에 따르면 미국 워싱턴 DC 소식통들은 북미 정상회담 개최 후보지의 '쇼트 리스트'(Short List)가 베트남과 태국으로 줄어든 것 같다며 이들 두 국가가 모두 장소 제공을 제의했다고 밝혔다. 한 소식통은 베트남 하노이와 태국 방콕을 가능한 개최지로 언급하며 ""두 곳 모두 정상회담 유치를 원하고 있다""고 말했다.

전문보기: http://yna.kr/pwRudKbDA0c

■ 한국경제에 경고음 높이는 KDI…석달연속 ""경기 둔화"" 진단

국책 연구기관인 한국개발연구원(KDI)이 경기에 대한 경고음을 높이고 있다. KDI는 13일 공개한 'KDI 경제동향' 1월호에서 최근 한국 경제 상황에 관해 ""내수 부진이 이어지고 수출도 위축되는 등 경기둔화 추세가 지속되는 모습""이라고 진단했다. KDI는 작년 11월부터 3개월 연속 경기가 둔화했다고 판단했다. 경기 상황에 대한 평가는 악화하는 양상이다.

전문보기: http://yna.kr/6GR.dKKDA0d

■ 설 前 개각 어려울 듯…靑 ""보름 남았는데 검증시스템상 힘들다""

청와대는 대통령 비서진 2기 출범에 맞물린 개각이 설 연휴(다음 달 2∼6일) 이전에는 사실상 어렵다고 보는 것으로 13일 알려졌다.내년 총선에 대비해 정치인 출신 장관들이 대폭 교체될 것으로 전해진 가운데 개각은 일단 설 연휴가 지난 뒤 발표될 것으로 전망된다. 청와대 고위관계자는 이날 기자들과 만나 ""설 전에 개각하려면, 청와대 검증 시스템에 비춰볼 때 이미 유력 (후임) 주자들이 언론에 다 나와야 할 것""이라고 전제한 뒤 ""검증 과정에서 언론이 하마평을 다 실을 정도가 돼야 설 전에 할 수 있지 않으냐""라고 밝혔다.

전문보기: http://yna.kr/owR_dKbDA06

■ 이해찬 ""김태우·신재민 조직 부적응자…한국당 더 수렁에 빠져""

더불어민주당 이해찬 대표는 13일 자유한국당이 김태우 전 청와대 특별감찰반원과 신재민 전 기획재정부 사무관이 제기한 의혹 규명을 위한 특검법안을 발의한 데 대해 ""한국당이 더 수렁에 빠지는 일""이라며 비판했다.이 대표는 이날 국회에서 신년 기자회견을 열고 ""정치를 하면서 인식의 차이라는 게 매우 크구나 하는 걸 많이 느낀다. 김태우나 신재민, 이분들은 말하자면 그 조직에 적응을 잘 못 하는 사람들""이라며 이같이 말했다.

전문보기: http://yna.kr/JwRLdKmDA0e

■ '22명 사상' 영흥도 참사 잊었나…통영 선박사고 인재 정황 속속

경남 통영 해상에서 가스 운반선과 충돌한 낚시어선이 전복되면서 3명이 숨지고 2명이 실종된 가운데 해당 사고가 인재라는 정황이 속속 드러나고 있다. 불과 1년 전 급유선이 낚시어선을 들이받아 15명이 숨지고 7명이 다친 인천 영흥도 참사와 유사한 사고가 되풀이됐다는 지적도 나온다. 통영해양경찰서는 사고 발생 사흘째인 13일 이번 사고가 여수 선적 9.77t 낚시어선 무적호(정원 22명·승선 14명)와 파나마 선적 3천t급 가스 운반선 코에타 쌍방 모두 충돌 책임이 있다고 보고 관계자들을 상대로 수사를 하고 있다.

전문보기: http://yna.kr/YwRRdKJDA0.

■ 1년 뒤 서울집값 전망 반전…전문가 ""하락 45％ vs 상승 24％""

1년 뒤 서울 집값에 대한 전문가 집단의 전망이 '상승'에서 '하락' 우세로 전환했다. 13일 한국개발연구원(KDI)이 학계·연구원·금융기관·건설사 등 전문가 100여명을 상대로 작년 12월 실시한 '부동산시장 전문가 설문조사' 결과를 보면 1년 후 서울 주택 매매 가격이 내릴 것이라는 견해는 44.7％로 오를 것이라는 견해(24.3％)보다 20.4％포인트 높았다. 작년 9월에 역시 전문가들을 상대로 실시한 조사에서는 1년 후 서울 집값이 상승할 것이라는 응답이 46.1％로 하락할 것이라는 답변(27.5％)보다 18.6％포인트 높았는데 3개월 사이에 반전한 것이다.

전문보기: http://yna.kr/vGRWdKxDA0C

■ 노조원 가족나들이까지 밀착 감시한 삼성 에버랜드

삼성이 계열사 에버랜드에 노동조합이 생기자 그룹 차원의 노사전략에 따라 주요 구성원을 미행하며 일거수일투족을 감시했던 것으로 드러났다. 사측은 '문제인력'으로 분류한 노조원의 신상 정보를 철저히 캐는 한편 식사로 무엇을 주문했는지 기록할 정도로 치밀하게 노조를 감시했다. 13일 삼성 에버랜드 노조방해 혐의로 기소된 강경훈 삼성전자 부사장 등 13명에 대한 검찰의 공소사실을 보면, 노조방해 공작은 2011년 6월4일 현 노조 부위원장인 조장희씨 사무실에서 노조설립 준비 문건이 발견되면서 시작됐다.

전문보기: http://yna.kr/UwR0dKlDA0_

■ 곳곳서 일산화탄소 중독 사고…""연기 새는지 꼭 확인""

가정집 온돌방, 황토방 등에서 일산화탄소 중독으로 인한 사망 등 사고가 이어지면서 각별한 주의가 요구된다. 12일 오후 11시 20분께 경북 의성군 사곡면에 있는 개인 황토방에서 주민 A(49)씨 부부가 숨져 있는 것을 A씨 동생이 발견해 경찰에 신고했다.

전문보기: http://yna.kr/YwRjdKnDA0l

■ 15일부터 주민등록 사실조사 전국 읍·면·동 동시 실시

행정안전부는 오는 15일부터 3월 31일까지 '주민등록 사실조사'를 전국 읍·면·동에서 실시한다고 13일 밝혔다. 이 조사는 주민등록사항과 실제 거주 사실이 일치하는지 확인하는 것으로 그 결과에 따라 주민등록 사항의 정정, 말소, 거주불명 등록 등 조치를 하게 된다. 조사는 통장이나 이장이 직접 모든 가구를 방문해 세대 명부와 실제 거주 사실을 대조한 뒤 주민등록사항과 일치하지 않는 부분이 있으면 해당 읍·면·동의 주민등록 담당 공무원이 상세한 개별조사를 진행하는 방식으로 이뤄진다.

전문보기: http://yna.kr/OTRfdKEDA-d

▶연합뉴스 채널 구독하고 스타벅스 커피 드세요

▶뭐 하고 놀까? #흥 ▶쇼미더뉴스! 오늘 많이 본 뉴스영상",0,0
"CJ CGV, 러시아 진출...""2020년 현지 33개 극장·160개 스크린 운영""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000386414,"러시아 ADG그룹과 영화관 합작사 설립 계약 체결..해외 진출국 7개국으로 늘어

CJ CGV가 합작사 방식으로 러시아 영화관 시장에 진출한다. 이로써 CJ CGV의 해외 진출국은 7개국으로 늘어난다.

CJ CGV는 23일 서울 CGV용산아이파크몰에서 러시아 부동산 개발업체인 ADG그룹과 영화관 합작사 설립 계약을 체결했다고 밝혔다. 이 합작사는 홍콩에 소재할 예정이며, 지분율은 CJ CGV 70%, ADG그룹 30%로 구성된다. CJ CGV의 출자 총액은 245억원이다. 3개년에 걸쳐 분할 출자될 예정이다.

이 합작사는 내년부터 모스크바를 시작으로 2020년까지 33개 극장, 160개 스크린을 운영할 계획이다. CJ CGV 관계자는 “2020년이면 CJ CGV가 모스크바에서 가장 많은 극장을 운영하는 극장 체인이 될 것으로 전망된다”며 “국내에서 쌓은 노하우를 기반으로 러시아에 차별화된 서비스를 제공해 새로운 영화 관람 문화를 선도할 계획”이라고 말했다.

ADG그룹은 대형 쇼핑몰 개발을 전문으로 하는 러시아 부동산 개발업체다. 지난 2014년 러시아 정부로부터 모스크바 소재 39개 복합상영관을 포함한 쇼핑센터 개발 및 운영 프로젝트를 수주했다. CGV 영화관은 ADG그룹이 2020년까지 조성하는 쇼핑몰들에 들어가게 된다. 이들 쇼핑몰 설립에는 9억9000만달러가 투자된다. 총 건축면적은 48만평이다.

CJ CGV 로고. /CJ CGV 제공

러시아 영화관 시장은 세계 14위권이다. 지난해 기준 전세계 박스오피스(영화의 흥행 수입액)의 약 1.9%를 차지했다. 최근에는 대도시 중심으로 기존 극장들이 멀티플렉스로 전환하는 추세다. 러시아 정부가 영화 산업을 적극적으로 지원하면서 로컬영화 제작도 활성화되고 있다. 영화 업계는 2021년 러시아의 박스오피스 규모가 2016년 대비 25%가량 성장할 것으로 내다봤다.

CJ CGV 관계자는 “모스크바는 러시아의 수도이자 대도시가 밀집한 서부의 중심으로, 러시아 극장 스크린의 26%가 집중된 전략적 요충지”라며 “모스크바 외 다른 도시로도 확장을 추진하고 대형화를 통해 시장 지배력을 강화해 나갈 계획”이라고 말했다.

20일 기준 CJ CGV의 국가별 극장 운영 현황. /CJ CGV 제공

CJ CGV의 해외 진출국은 중국, 미국, 베트남, 인도네시아, 미얀마, 터키, 러시아 등 7개국으로 늘어났다. 현재 CJ CGV는 국내외 417개 극장, 3213개 스크린을 보유한 글로벌 5위 영화관 사업자다. CJ CGV는 2020년까지 전 세계 스크린 1만개, 연간 관람객 7억명을 목표로 하고 있다.

서정 CJ CGV 대표이사는 “러시아는 장기적으로 유럽 지역까지 진출할 수 있는 주요 거점이라는 측면에서 CJ CGV의 영토 확장에 중요한 의미를 가진다”며 “국내의 선진화된 멀티플렉스를 러시아에 전파하고 K-무비, 더 나아가 한국 문화의 우수성을 알리는데 노력하겠다”고 말했다.

[박수현 기자 htinmaking@chosunbiz.com]



chosunbiz.com",0,0
봄 기지개 펴는 상가…분양 물량 어디,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004320635,"스트리트형 상가부터 몰링형 상가까지 공급 잇따라
주택 투자여건 악화....상가 분양시장 반사효과 주목
“배후수요 및 유동인구 등 면밀히 따져봐야”
이안 강동 컴홈스테이 상가 투시도.(이미지=대우산업개발 제공)
[이데일리 박민 기자] 봄 분양 성수기를 맞아 상업시설 공급이 잇따르고 있다. 최근 정부의 연이은 규제로 주택 투자 여건이 악화한 가운데 상가 분양시장이 반사효과를 누릴 수 있을지 주목된다.

28일 분양 업계에 따르면 다음 달 전국 각지에서 테마가 있는 스트리트형 상가부터 영화관·쇼핑·외식 등 여러 시설을 갖춘 몰링형 상가까지 줄줄이 분양을 앞두고 있다.

대우산업개발㈜은 서울 강동구 천호동에서 ‘이안 강동 컴홈스테이’ 오피스텔의 단지 내 상업시설을 분양한다. 지하철 5·8호선 환승역인 천호역과 5호선 강동역을 도보로 이용 가능한 더블역세권 상가로 총 654실 규모로 조성되는 랜드마크급 오피스텔이다. 회사 측은 투명 바닥 설계(3층)를 적용한 타워 트윈 브릿지와 반려동물 동반 출입이 가능한 전용 펫파크, 야외 옥상정원 등 특화설계를 적용할 계획이다.

㈜신영의 계열사 ㈜대농은 성남시 분당구 수내동에서 ‘분당 지웰 애비뉴’를 3월 분양할 예정이다. 총 166가구의 아파트 ‘분당 지웰 푸르지오’의 단지 내 상가로 전용면적 21~286㎡ 총 72실 규모이다. 지하철 분당선 수내역, 서현역이 도보권이고 판교역까지 차량으로 약 6분 거리이다. 분당구청 바로 옆에 있으며 올해 12월 조성 예정인 제2판교테크노밸리도 차량으로 15분대 도달 가능하다.

명성종합건설은 경기도 화성시 팔탄면 구장리에 짓는 복합상가 ‘명성복합유통단지’를 3월 분양한다. 지상 3층 규모에 근린생활시설은 1층 19실, 2층 21실 등 총 40실로 구성된다. 전용면적은 약 26~54㎡로 입점자의 수요에 맞도록 다양한 형태로 설계했으며 점포들은 모두 상권 대로변에 위치한다.

청우디에이(주)는 같은 달 대구 동구 신천동 일대에서 ‘동대구역 아펠리체’ 오피스텔 308실과 단지 내 상가 46실을 동시 분양한다. 총 1만 2821㎡에 이르는 동대구 고속버스터미널 후적지 첫 개발사업으로 근린생활시설은 1~6층에 들어선다. KTX와 지하철 1호선 동대구역 초역세권 입지로 신세계백화점, 복합 환승센터 등 유동인구를 배후수요로 두고 있다.

세영종합건설(주)은 대구 동구 방촌동에서 아파트 403가구로 구성되는 ‘방촌역 세영리첼’과 함께 단지 내 상가 20실을 동시 분양 할 예정이다. 유동인구가 많은 방촌역 초역세권에 들어서는 대로변 스트리트몰이다. 인근 홈플러스 동촌점, 롯데쇼핑프라자, 방촌시장 등 풍부한 생활시설과 금호강 수변공원이 있어 배후수요로 작용하게 된다.

권강수 한국창업부동산정보원 이사는 “최근 아파트에 규제가 집중되면서 건설사들도 새로운 수익원으로 상업시설 공급에 적극적인 모습”이라며 “봄을 맞아 전국 각지의 유망 신규 상가들이 분양을 본격화할 예정이어서 배후수요 및 유동인구 등을 면밀히 따져볼 필요가 있다”고 말했다.

박민 (parkmin@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]
꿀잼가득 [영상보기▶] , 빡침해소!청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",0,0
"'5년의 꿈' 무너진 롯데, 웃는 이유는",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004136902,"서울시, 롯데 상암몰 사업계획서 부결…하반기 수정안 재심사 계획
롯데, 2013년 상암동 부지 매입후 결론까지 5년 걸려
수정안 지역상인 요구 일부 내용 담고 있어 긍정적 결론 기대
서울시가 롯데가 기존에 제출한 사업계획서를 부결했다. 올 하반기 수정안을 심사해 최종 결론을 낼 예정이다.(사진=이데일리DB)
[이데일리 송주오 기자] 상암 디지털미디어시티(DMC) 롯데복합쇼핑몰 사업(롯데 상암몰)이 무산됐다. 롯데 상암몰은 롯데그룹이 5년 동안 기다린 사업이다. 낙담할 만한 상황인데 롯데의 분위기는 오히려 긍정적으로 흐른다. 이번에 무산된 사업 계획서가 지역 상인들의 반발을 불러온 안이기 때문이다. 기존안 폐기로 수정안을 본격 심사할 수 있는 환경이 조성됐다. 수정안은 지역상인의 요구사항을 일부 반영한 것으로 서울시 문턱을 넘을 수 있을 것으로 롯데는 기대하고 있다.

서울시는 제9차 도시·건축공동위원회(이하 도건위)를 열어 롯데 상암몰을 재심의한 결과 ‘부결’을 결정했다고 28일 밝혔다. 앞서 도건위는 2015년 7월과 12월 올해 5월 열렸던 심의에서 해당 안건에 모두 ‘보류’ 판정을 내린 바 있다. 도건위는 롯데가 사들인 상암동 부지(3필지)를 개별적으로 개발하는 것을 부정적으로 판단했다.

롯데그룹은 2013년 서울시로부터 DMC역 인근 부지 3개 필지 2만644㎡를 1972억원에 매입했다. 당시 롯데그룹은 해당 부지에 백화점과 영화관, 대형마트, 업무시설 등을 지을 계획을 세웠다. 롯데의 개발 계획이 알려지자 지역상인을 중심으로 반발했고 심의도 결론을 내리지 못한 상태를 지속했다. 5년 만에 받은 결과가 ‘이대로 사업을 진행할 수 없다’는 결론이었다.

롯데는 이번 결과를 오히려 반기는 분위기다. 기존안 대신 수정안을 심사할 길이 열렸기 때문이다. 도건위는 기존안을 부결하는 대신 수정안을 연내 재심사하기로 했다.

수정안은 지역 상인들의 요구를 반영한 사업계획서다. 3개 필지 중 가장 큰 필지(8162㎡)를 비판매시설인 오피스텔로 사용하고, 나머지 2곳(6162㎡, 6319㎡)을 묶어 복합쇼핑몰로 개발하겠다는 내용을 담고 있다.

도건위가 수정안에서 DMC역과의 연계 개발 계획을 살펴보겠다고 밝힌 점도 롯데에 호재로 작용할 것으로 보인다. 롯데가 DMC역 개발사업자로 선정돼 있어 인근 부지와의 복합 개발이 수월하다. 여기에 지역여론이 롯데 상암몰 개발에 힘을 실어주는 양상이다. 롯데 상암몰 건축 계획을 접하고 입주한 인근 주민들은 부동산 관련 커뮤니티 등에 연일 불만을 쏟아내고 있다.

서울시 입장에서도 롯데 상암몰은 놓치기 아까운 사업이다. 롯데 상암몰이 들어서면 1000여개의 브랜드가 입점해 약 5000여명의 고용 효과를 창출할 것으로 기대되고 있어서다.

롯데쇼핑 관계자는 “이번 심의에서 부결 결정이 난 것은 기존에 제출했던 사업계획서”라며 “올 하반기 수정안을 재심사하기로 결정해 긍정적인 결론을 기대한다”고 말했다.

송주오 (juoh413@edaily.co.kr)

20~30대를 위한 취업, 금융, 생활 정보가 가득 [스냅타임▶]
네이버 홈에서 ‘이데일리’ 기사 보려면 [구독하기▶]
최신 웹툰이 매일 공짜... 꿀잼 '웹툰' [감상하기▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞",3,2
키테넌트 확보한 ‘구의자이엘라’ 상업시설 유망 투자처로 떠올라,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003613721,"- 규제 반사효과+금리인하로 수익형 부동산 인기 높지만···옥석가리기는 필수
- 구의자이엘라 상업시설, SSM 유치예정으로 상업시설 활성화 유리해···투자자 관심 뜨거워
<‘구의자이엘라 상업시설’ 투시도>

[서울경제] 시장의 유동자금이 수익형 부동산으로 집중되고 있다. 정부가 주택시장에 대한 강력한 규제를 가함에 따라 수익형 부동산이 반사효과를 누리고 있는 데다, 한국은행의 기준금리 인하까지 이어지며 대출이자에 대한 부담이 줄자 그 속도는 더욱 가속화되는 분위기다.

특히 최근 가장 높은 관심을 끄는 분야는 바로 상업시설이다. 수익형 부동산 중에서도 오피스텔이 경우에 따라 규제의 적용을 받는 것과 달리 상업시설은 규제로부터 완전히 자유롭고 청약절차 및 별도의 자격조건도 필요없어 투자문턱이 낮다. 게다가 매달 꾸준히 월세 수익을 거두는 것은 물론이고, 향후 상권이 확대될 경우 높은 수준의 시세차익도 거둘 수 있다는 점이 매력적이다.

다만 상업시설 중에서도 옥석가리기가 필요하다. 이 때 가장 눈여겨 볼 부분으로는 바로 ‘키테넌트’의 확보 유무다. 키테넌트란 고객을 유인하는 효과가 뛰어난 핵심 점포로 유명 프랜차이즈 브랜드, 대형서점과 마트, 멀티플렉스 영화관 등이 대표적이다.

이 같은 키테넌트를 확보할 경우 해당 상업시설로 고객을 끌어모으는데 유리하고, 체류시간도 늘려 전체 시설의 활성화 및 수익률 향상에 결정적인 역할을 한다. 게다가 키테넌트가 가진 높은 인지도에 힘입어 상업시설 전체가 일대 랜드마크 상업시설로 발전할 가능성도 높아 미래가치 상승도 기대할만하다.

이 가운데, 자이S&D가 서울시 광진구 구의동 66-25번지 일원에 공급하는 ‘구의자이엘라 상업시설’이 SSM(기업형 슈퍼마켓) 입점예정으로 투자자들의 관심을 한몸에 받고 있다.

‘구의자이엘라 상업시설’은 주상복합 아파트 구의자이엘라의 지하 1층~지상 2층에 위치한 단지 내 상업시실로 풍부한 고정수요자를 확보한 데다, SSM까지 더해지며 투자안정성이 매우 높다는 평가를 받고 있다.

특히 SSM은 다양한 키테넌트중에서도 가장 생활밀착형 업종이라는 점에서 고객을 흡수하는데 유리하고, 재방문률이 매우 높은 만큼 연중 활성화된 상권을 형성할 수 있다.

풍부한 배후수요와 뛰어난 교통여건 등을 두루 갖춘 입지도 상업시설 투자의 안정성을 높이는 배경이다. 일단 주변으로 구의자이엘라와 함께 레미안구의파크스위트 아파트 포함 약 23,000명의 인근 거주자 수요를 안정적으로 확보했다. 또한 도보 10분 이내로 연립 및 다세대주택도 밀집해 있어 해당 수요자들까지 배후수요로 확보할 수 있다.

여기에 지하철 2호선 구의역과 5호선 아차산역을 도보로 이동할 수 있는 더블 역세권 입지로 풍부한 유동인구를 흡수할 수 있고, 광진초가 도보 5분 거리에 위치해 있고, 경복초, 동국사대부속여자중?고, 선화예술고등학교 등도 반경 500m 이내에 위치해 있어 관련 학생 및 관계자들까지 고객으로 확보할 수 있을 전망이다.

개발호재를 바탕으로 향후 상업시설의 가치상승도 기대할수 있다. 광진구 및 구의동 일대에는 구의?자양재정비촉진지구개발, 동서울터미널 현대화사업, 종합의료복합단지 사업 등 다양한 개발사업이 진행중으로 부동산 시장 전반에 가격상승이 예상되기 때문이다.

구의자이엘라 상업시설 자체가 가진 상품성도 뛰어나다. 해당 시설은 고객들의 이용 편의성을 높이고 오랜 시간 체류하는 데 불편이 없도록 공간 구성에 특히 신경썼다. 넉넉한 주차공간을 제공하는 것은 물론 시설 내.외부에 휴게공간을 적소에 배치했으며, 수유실 등 각종 편의시설까지 잘 갖췄다.

여기에 확실한 테마까지 더해진다. 기존의 시장 이미지를 제고, ‘파머스마켓’을 모티브로한 현대식로컬푸드 매장으로 도입할 예정으로 주변과 조화됨과 동시에 차별화를 기해 일대 랜드마크 상업시설로 발전가능성을 높인다는 계획이다.

분양관계자는 “주변으로 탄탄한 배후수요를 확보한데다, 핵심 키테넌트인 SSM 입점이 예정됨에 따라 투자문의가 늘고 있다”며 “ 합리적인 가격으로 제공될 예정으로 타 상품대비 소액으로 투자가 가능해 빠른 분양 마감이 예상된다”고 말했다.

한편 구의자이엘라 상업시설 홍보관은 서울시 광진구 아차산로 361 신라빌딩(자양사거리 GS주유소 옆)에 마련될 예정이며, 지하철 2호선 구의역 1번출구에서 도보로 3분 내로 도달할 수 있어 대중교통을 이용하면 편리하다.

/김동호 기자 dongho@sedaily.com

[서울경제 바로가기]
▶ 한눈에 보는 시그널 '기업 재무정보' | ▶ 네이버TV로 서울경제썸 구독하기
▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지",0,0
