title,link,like,angry
부동산 ‘상투? 혹은 기회?’… 강남 재건축 올해도 ‘로또 청약’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=029&aid=0002440933,0,0
"[주간부동산시황]서울 아파트값 상승률, 8·2대책이후 두번 째 높아",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002230962,4,2
"내년 부동산 3대 변수, 대출규제·공급과잉·보유세",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004074704,26,17
"영종도 국제적 해양관광 허브로 도약, 이에 걸맞은 부동산 상품 눈길",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001334502,0,0
[오은석의부동산재테크]2018년 전세가격이 더 오를까?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003998294,5,22
"""집값잡는 특효약은 공급확대…재건축·재개발 활성화해야""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004074705,2,1
[2018 부동산] '규제 폭탄' 집값 더 오를까…전문가 5人 전망은,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003868906,17,25
서울 인구 감소와 부동산 시장 영향,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003869399,2,1
"[부동산 세금전쟁]재건축 환수제 부활..""억대 부담금""vs""영향 없다""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0004000570,1,2
[한경 BIZ School] 2018년 亞·太도시 부동산 투자 '대체로 맑음',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003871173,0,0
내년 초부턴 신규 아파트 공급 부족,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=005&aid=0001057577,0,3
[이슈진단] ‘7개월간 7번의 대책’…2017 부동산 시장 점검,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=374&aid=0000147178,1,0
2017년 부동산시장 10대 뉴스…시장 흐름 '예측불허',https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008351669,0,1
[표지이야기]‘100만호 공급’계획에 세입자 대책은 빠졌다,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=033&aid=0000036268,1,4
'물량폭탄'에 경기도 전세시장 9년만에 수급 역전…공급>수요,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0009741462,64,13
"""서울 부동산 끄떡없다"" 서울만 소비자심리지수 석달째 상승",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003994146,25,53
[오은석의부동산재테크]정말 임대주택 등록이 활성화되길 원하시나요?,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=018&aid=0003993382,2,1
[KBS 공감토론] 8.2 부동산 대책 투기차단 효과와 보완책,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010491611,0,0
“너무하다” vs “겨우”…정부 부동산대책 엇갈린 ‘아우성’,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001328794,78,472
"8·2대책 후 3개월, 부동산 시장 '안정화' 수순 밟나",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0008262715,1,6
"""신규 택지 공급은 10년만의 기회"" vs ""수도권 땅값 불안 요인""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000391951,0,2
[KBS 공감토론] “새 정부 부동산 정책과 서민주거 대책의 방향 진단”,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=056&aid=0010466143,1,0
"낡은 공장·백화점 헐고 아파트, 부동산 '컨버전 시장' 커진다",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003860711,4,0
공공주택 연평균 20만호 공급...서울 수급여건 조절되나,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=119&aid=0002224903,1,0
"칼 빼든 부동산 대책, 주택 가격 하락 불가피?",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=052&aid=0001041939,0,0
"신규 택지 공급의 부활…""정부 의지와 속도가 관건""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=366&aid=0000390820,0,0
"부동산 시장 영향은…""금리인상 초기엔 집값 더 오를 수도""",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=015&aid=0003858633,4,12
